plant,genotype,treatment,flat,position,week,epicotyl,internode1,internode2,internode3,petiole1,petiole2,petiole3,petiole4,experiment
82S03-8,M82,Sun,3,8,6,23.24,19.63,20,15.02,70.54,60.67,51.11,34.64,init.screen
82S06-2,M82,Sun,6,2,4,20.38,11.66,0,0,42.32,16.14,5.06,0,init.screen
82S06-2,M82,Sun,6,2,5,24.26,18.47,12.51,6.66,61.66,36.11,24.24,19.39,init.screen
82S06-2,M82,Sun,6,2,6,27.27,24.88,23.68,19.24,77.72,65.3,47.73,54.22,init.screen
82S06-3,M82,Sun,6,3,4,11.94,6.33,0,0,20.57,13.09,5.8,0,init.screen
82S06-3,M82,Sun,6,3,5,14.91,15.46,12.21,0,34.17,29.8,29.05,10.68,init.screen
82S06-3,M82,Sun,6,3,6,18.08,21.59,23.99,17.24,44.02,52.31,60.01,27.76,init.screen
82S2.3,M82,Sun,21,,3,9.7,3.55,0,0,22.42,7.94,0,0,with.phy
82S4.3,M82,Sun,21,,3,11.52,3.98,0,0,17.69,4.64,0,0,with.phy
82S4.5,M82,Sun,21,,3,11.6,3.05,0,0,16.07,3.6,0,0,with.phy
82S2.5,M82,Sun,21,,3,8.65,2.35,0,0,15.92,3.8,0,0,with.phy
82S4.4,M82,Sun,21,,3,11.38,2.32,0,0,11.09,3,0,0,with.phy
82S8.1,M82,Sun,21,,3,11.73,5.2,0,0,16.14,7.31,0,0,with.phy
82S6.2,M82,Sun,21,,3,12.35,2.89,0,0,17.61,5.95,0,0,with.phy
82S1.2,M82,Sun,21,,3,13.65,6.15,0,0,29.39,8.46,0,0,with.phy
82S8.1,M82,Sun,28,,4,16.57,20.45,11.02,2.48,37.61,31.35,10.96,4.36,with.phy
82S6.2,M82,Sun,28,,4,20.07,13.27,7.94,0,41.85,22.23,8.4,0,with.phy
82S1.2,M82,Sun,28,,4,17.39,13.88,13.82,5.84,55.06,28.76,16.06,10.15,with.phy
82S2.3,M82,Sun,28,,4,13.53,15.88,8.22,2.72,45,26.43,10.9,6.93,with.phy
82S4.3,M82,Sun,28,,4,20.89,18.34,9.63,2.54,46.35,19.68,10.1,3.65,with.phy
82S4.4,M82,Sun,28,,4,20.84,11.97,4.39,0,27.76,18.35,2.06,0,with.phy
82S4.5,M82,Sun,28,,4,20.11,17.12,9.1,0,40.78,18.5,9.56,0,with.phy
82S2.5,M82,Sun,28,,4,15.35,10.66,8.19,0,38.11,20.91,6.04,0,with.phy
82S4.4,M82,Sun,35,,5,24.79,21.99,19.82,8.09,48.6,43.02,18.38,14.38,with.phy
82S1.2,M82,Sun,35,,5,18.74,18.8,21.08,15.35,75.57,57.27,39.75,41.65,with.phy
82S6.2,M82,Sun,35,,5,25.07,20.81,24.91,14.26,61.98,49.59,29.05,23.6,with.phy
82S8.1,M82,Sun,35,,5,20.88,29.24,26.25,22.68,50.92,64.8,33.61,38.54,with.phy
82S4.5,M82,Sun,35,,5,25.72,27.95,30.15,20.11,75.01,46.67,35.66,14.49,with.phy
82S2.5,M82,Sun,35,,5,18.39,17.46,22.83,12.02,65.5,48.72,25.81,29.17,with.phy
82S2.3,M82,Sun,35,,5,15.35,21.81,17,13.54,64.91,44.45,31.83,14.65,with.phy
82S4.3,M82,Sun,35,,5,27.97,26.84,25.89,16.78,88.29,40.31,32.33,29.92,with.phy
TIS1.6,tie-1,Sun,21,,3,26.36,7.97,0,0,14.13,7.79,0,0,with.phy
TIS6.6,tie-1,Sun,21,,3,22.55,3.41,0,0,12.78,4.52,0,0,with.phy
TIS8.6,tie-1,Sun,21,,3,28.89,5.41,0,0,16.13,12.04,0,0,with.phy
TIS8.4,tie-1,Sun,21,,3,27.95,4.98,0,0,14.71,11.44,0,0,with.phy
TIS6.1,tie-1,Sun,21,,3,27.3,3.91,0,0,16.06,3.95,0,0,with.phy
TIS3.1,tie-1,Sun,21,,3,29.28,7.27,0,0,27.9,6.99,0,0,with.phy
TIS1.1,tie-1,Sun,21,,3,28.27,5.83,0,0,20.19,5.95,0,0,with.phy
TIS5.2,tie-1,Sun,21,,3,27.35,6.65,0,0,19.76,7.12,0,0,with.phy
TIS6.1,tie-1,Sun,28,,4,48.36,21.31,12.19,0,38.73,19.19,10.87,0,with.phy
TIS1.1,tie-1,Sun,28,,4,49.04,26.77,11.19,0,43.84,22.64,10.41,0,with.phy
TIS3.1,tie-1,Sun,28,,4,46.02,31.61,16.66,2.48,59.72,27.68,11.86,3.71,with.phy
TIS5.2,tie-1,Sun,28,,4,38.04,28.26,17.45,2.65,45.16,23.19,19.64,4.77,with.phy
TIS8.4,tie-1,Sun,28,,4,42.27,25.94,18.66,0,34.36,37.48,17.43,0,with.phy
TIS6.6,tie-1,Sun,28,,4,38.33,18.29,6.79,0,28.96,22.35,7.17,0,with.phy
TIS8.6,tie-1,Sun,28,,4,43.94,18.37,17.27,4.86,35.28,36.16,19.58,4.16,with.phy
TIS1.6,tie-1,Sun,28,,4,39.14,30.62,18.26,3.4,29.25,26.22,16.79,3.78,with.phy
TIS8.4,tie-1,Sun,35,,5,47.77,37.66,52.72,29.19,55.1,74.31,47.33,23.01,with.phy
TIS5.2,tie-1,Sun,35,,5,43.75,39.89,48.64,29.89,66.96,54.21,55.97,26.16,with.phy
TIS3.1,tie-1,Sun,35,,5,48.95,45.39,47.79,33.73,86.25,63.38,36.86,32.23,with.phy
TIS1.1,tie-1,Sun,35,,5,54.55,41.15,38.71,24.92,67.71,49.66,31.54,39.29,with.phy
TIS6.1,tie-1,Sun,35,,5,55.93,35.69,48.66,28.93,69.52,47.11,44.98,26.46,with.phy
TIS6.6,tie-1,Sun,35,,5,43.98,37,41.2,17.67,56.64,57.36,42.61,18.48,with.phy
TIS8.6,tie-1,Sun,35,,5,47.38,28.38,41.69,37.78,56.71,76.59,52.45,25.21,with.phy
TIS1.6,tie-1,Sun,35,,5,47.79,42.14,48.12,28.45,44.16,56.52,49.39,25.91,with.phy
1S22-2,tie-1,Sun,22,,3,31.28,12.54,2.67,0,17.08,8.22,0,0,with.F2s
1S22-2,tie-1,Sun,29,,4,41.24,31.44,23.57,4.45,36.48,24.59,18.89,9.16,with.F2s
1S22-2,tie-1,Sun,36,,5,45.01,40.74,41.47,23.37,48.9,48.81,40.98,24.96,with.F2s
1S22-3,tie-1,Sun,22,,3,33.21,13.22,0,0,23.78,10.39,0,0,with.F2s
1S22-3,tie-1,Sun,29,,4,42.96,31.06,23.71,5.59,48.53,29.51,18.36,5.35,with.F2s
1S22-3,tie-1,Sun,36,,5,47.61,43.76,44.15,44.93,62.37,52.5,31.51,25.36,with.F2s
1S22-8,tie-1,Sun,22,,3,29.98,10.98,1.36,0,20.02,9.47,0,0,with.F2s
1S22-8,tie-1,Sun,29,,4,40.24,30.44,21.62,3.61,37.69,27.99,16.27,5.64,with.F2s
1S22-8,tie-1,Sun,36,,5,42.13,39.71,42.05,23.64,53.14,57.57,32.03,23.73,with.F2s
1S82-1,M82,Sun,22,,3,13.69,6.57,0,0,21.75,6.36,0,0,with.F2s
1S82-1,M82,Sun,29,,4,19.28,15.95,9.37,0,41.25,27.96,9.8,8.88,with.F2s
1S82-1,M82,Sun,36,,5,21.23,22.82,20.71,5.4,57.9,41.41,32.35,30.26,with.F2s
2S22-4,tie-1,Sun,22,,3,31.62,9.43,2.86,0,28.26,13.45,0,0,with.F2s
2S22-4,tie-1,Sun,29,,4,43.82,26.78,26.78,5.44,50.45,37.39,19.78,7.63,with.F2s
2S22-4,tie-1,Sun,36,,5,46.75,35.71,52.1,26.01,66.41,41.9,51.35,23.45,with.F2s
2S82-2,M82,Sun,22,,3,13.69,6.18,0,0,21.48,8.22,0,0,with.F2s
2S82-2,M82,Sun,29,,4,19.69,15.28,8.09,0,45.4,25.3,13.11,4.84,with.F2s
2S82-2,M82,Sun,36,,5,24.63,24.78,22.17,14.02,76.2,54.57,41.15,26.48,with.F2s
2S82-3,M82,Sun,22,,3,12.24,7.74,2.48,0,20.58,9.37,0,0,with.F2s
2S82-3,M82,Sun,29,,4,15.27,15.92,11.84,4.37,39.26,28.64,14.01,7.57,with.F2s
2S82-3,M82,Sun,36,,5,18.18,23.53,33.5,17.93,70.06,68.29,45.66,34.27,with.F2s
2S82-7,M82,Sun,22,,3,14.4,12.51,2.14,0,28.64,8.16,0,0,with.F2s
2S82-7,M82,Sun,29,,4,18.85,22.95,13.63,7.65,49.82,28.01,14.08,8.77,with.F2s
2S82-7,M82,Sun,36,,5,20.4,25.66,20.79,20.89,64.18,37.21,39.05,39.54,with.F2s
2S82-8,M82,Sun,22,,3,15.02,6.03,0,0,21.87,21.29,4.67,0,with.F2s
2S82-8,M82,Sun,29,,4,20.89,6.77,5.68,0,40,42.43,21.71,11.18,with.F2s
2S82-8,M82,Sun,36,,5,21.83,9.81,15.62,15.14,56.53,84.41,46.73,27.77,with.F2s
3S22-6,tie-1,Sun,22,,3,31.17,7.52,0,0,20.52,10.28,0,0,with.F2s
3S22-6,tie-1,Sun,29,,4,43.62,26.08,17.35,4.4,44.83,33.1,16.49,3.92,with.F2s
3S22-6,tie-1,Sun,36,,5,49.82,39.22,41.66,36.05,64.91,72.83,48.1,22.44,with.F2s
3S22-8,tie-1,Sun,22,,3,36.27,7.13,3.46,0,18.81,15.74,0,0,with.F2s
3S22-8,tie-1,Sun,29,,4,52.95,18.84,28.16,12.75,38.8,44.34,24.15,6.47,with.F2s
3S22-8,tie-1,Sun,36,,5,57.17,24.4,47.35,42.56,47.08,73.01,57.15,26.56,with.F2s
3S82-2,M82,Sun,22,,3,14.46,6.45,0,0,23.89,8.99,0,0,with.F2s
3S82-2,M82,Sun,29,,4,18.9,15.56,15.45,4.5,46.86,32.22,19.34,6.88,with.F2s
3S82-2,M82,Sun,36,,5,20.74,17.37,24.85,16.2,61.34,59.27,56.53,30.59,with.F2s
3S82-3,M82,Sun,22,,3,19.62,10.05,0,0,21.59,6.1,0,0,with.F2s
3S82-3,M82,Sun,29,,4,23.31,20.75,14.17,0,44.62,23.02,12.55,4.52,with.F2s
3S82-3,M82,Sun,36,,5,26.73,31.01,31.74,21.42,69.76,60.15,40.46,33.23,with.F2s
4S22-2,tie-1,Sun,22,,3,30.02,10.57,2.76,0,20.56,9.79,0,0,with.F2s
4S22-2,tie-1,Sun,29,,4,40.83,27.13,25.77,9.63,40.09,28.52,22.07,8.75,with.F2s
4S22-2,tie-1,Sun,36,,5,42.49,33.32,40.37,31.02,49.91,49.21,52.41,31.1,with.F2s
4S22-7,tie-1,Sun,22,,3,37.85,10.77,2.37,0,19.14,8.45,0,0,with.F2s
4S22-7,tie-1,Sun,29,,4,51.52,27.93,21.7,5.03,40.32,26.85,18.34,6.87,with.F2s
4S22-7,tie-1,Sun,36,,5,55.28,38.91,40.64,28.65,56.95,52.61,44.15,22.6,with.F2s
4S82-8,M82,Sun,22,,3,15.81,1.92,0,0,11.13,10.96,0,0,with.F2s
4S82-8,M82,Sun,29,,4,23.54,3.8,10.84,3.97,28.95,28.35,19.48,7.68,with.F2s
4S82-8,M82,Sun,36,,5,26.59,6.69,17.12,12.48,43.37,51.97,45,23.26,with.F2s
,tie-1,0,4,21,3,27.97,2.94,1.76,0,15.52,13.3,0,0,GA.dose
,M82,0,8,21,3,9.74,0.96,0,0,10.58,1.49,0,0,GA.dose
,M82,0,1,21,3,8.14,1.35,0,0,10.86,1.84,0,0,GA.dose
,M82,0,7,21,3,2.62,0.75,0,0,9.41,1.25,0,0,GA.dose
,M82,0,6,21,3,8.05,0.55,0,0,8.28,1.64,0,0,GA.dose
,tie-1,0,7,21,3,9.96,1.34,0,0,9.54,1.46,0,0,GA.dose
,tie-1,0,5,21,3,18.38,8.12,3.85,0,16.26,14.68,3.86,1.29,GA.dose
,tie-1,0,8,21,3,17.5,2.98,0.47,0,12.73,6.5,0,0,GA.dose
,tie-1,0,1,21,3,22.77,3.54,0.98,0,14.1,6.54,0,0,GA.dose
,M82,0,2,21,3,9.87,1.54,0,0,16.41,4.27,0,0,GA.dose
,tie-1,0,3,21,3,14.2,1.95,0,0,11.91,4.69,0,0,GA.dose
,M82,0,5,21,3,13.33,0.95,0,0,15.72,11.25,0.8,0,GA.dose
,M82,0,4,21,3,6.77,0,0,0,13.02,0.9,0,0,GA.dose
,tie-1,0,6,21,3,23.02,6.08,1.25,0,16.81,6.86,0.99,0,GA.dose
,M82,0,3,21,3,7.16,4.35,0,0,17.08,5.83,2.41,0,GA.dose
,tie-1,0,2,28,4,38.84,11.78,5.11,0.81,25.49,21.68,5.97,1.21,GA.dose
,M82,0,3,28,4,12.63,15.72,6.44,2.71,33.91,18.49,15.1,8.52,GA.dose
,tie-1,0,6,28,4,40.62,23.75,14.09,2.44,34.17,23.45,12.67,3.15,GA.dose
,M82,0,4,28,4,16.98,6.14,0.72,0,29.69,10.06,1.79,0,GA.dose
,M82,0,5,28,4,25.61,2.8,7.49,1.4,34.26,27.26,11.56,4.22,GA.dose
,tie-1,0,3,28,4,27.08,13.14,2.88,0.07,25.2,17.8,2.55,1.24,GA.dose
,M82,0,2,28,4,20.64,10.03,3.51,0,35.3,18.05,3.09,0,GA.dose
,tie-1,0,1,28,4,33.77,12.67,7.34,0,27.68,17.26,5.44,0.59,GA.dose
,tie-1,0,8,28,4,31.46,16.19,5.05,0,27.38,23.37,4.59,1.68,GA.dose
,tie-1,0,5,28,4,24.87,18.27,23.45,7.59,31.46,37.17,19.89,17.2,GA.dose
,tie-1,0,7,28,4,21.92,10.25,2.14,0,21.25,15.62,1.94,0,GA.dose
,M82,0,6,28,4,18.71,7.57,1.5,0,19.07,11.82,1.53,0,GA.dose
,M82,0,7,28,4,11.88,5.14,1.29,0,24,8.57,1.26,0,GA.dose
,M82,0,1,28,4,19.17,10.51,1.78,0,25.43,10.63,1.58,0,GA.dose
,M82,0,8,28,4,20.8,7.06,0.94,0,27.01,12.13,1.61,0,GA.dose
,tie-1,0,4,28,4,47,12.28,12.57,2.32,29.01,32.1,10.84,2.29,GA.dose
,tie-1,0,2,35,5,44.71,21.08,35.38,14.07,41.32,49.17,28.84,19.33,GA.dose
,M82,0,3,35,5,12.47,20.46,12.6,8.25,47.98,33.83,34.3,27.96,GA.dose
,tie-1,0,6,35,5,43.36,35.56,39.44,20.23,49.61,48.52,40.17,28.56,GA.dose
,M82,0,4,35,5,23.34,18.28,7.01,1.74,34.22,27.51,18.59,3.47,GA.dose
,M82,0,5,35,5,31.3,4.54,17.37,9.48,50.16,40.99,31.29,29.19,GA.dose
,tie-1,0,3,35,5,34.52,23.63,19.25,6.62,38.06,36.62,24.13,14.61,GA.dose
,M82,0,2,35,5,26.69,20.77,15.2,6.11,59.56,39.62,26.17,9.52,GA.dose
,tie-1,0,1,35,5,38.41,24.23,36.32,13.8,44.65,38.59,30.6,21.92,GA.dose
,tie-1,0,4,35,5,54.41,19.99,34.42,25.69,44.69,56.44,32.83,23.95,GA.dose
,M82,0,8,35,5,26.9,20.81,8.89,3.65,48.34,33.23,21.8,5.85,GA.dose
,M82,0,1,35,5,23.1,22.27,11.62,4.35,41.01,26.03,23.4,8.17,GA.dose
,M82,0,7,35,5,17.23,16.99,8.44,1.84,42.62,24.48,15.09,4.19,GA.dose
,M82,0,6,35,5,22.6,15.38,9.59,3.15,30.01,28.65,18.43,8.39,GA.dose
,tie-1,0,7,35,5,27.77,25.22,18.43,6.15,36.61,26.59,22.07,5.88,GA.dose
,tie-1,0,5,35,5,27.13,23.06,33.34,17.7,43.96,60.91,44.46,42.69,GA.dose
,tie-1,0,8,35,5,37.61,28.83,29.18,11.43,44.02,49.08,22.91,19.05,GA.dose
82001.1,M82,0,21,,3,19.38,1.37,0,0,16.08,7.03,0,0,PAC.dose1
82001.2,M82,0,21,,3,14.53,6.15,2.08,0,15.78,9.1,0,0,PAC.dose1
TI001.3,tie-1,0,21,,3,31.98,6.74,0,0,21.77,7.12,0,0,PAC.dose1
TI001.4,tie-1,0,21,,3,30.24,4.28,0,0,14.89,7.61,0,0,PAC.dose1
TI001.5,tie-1,0,21,,3,17.49,8.74,2.55,0,14.37,8.41,0,0,PAC.dose1
TI001.6,tie-1,0,21,,3,23.48,2.79,1.31,0,0,0,0,0,PAC.dose1
TI001.7,tie-1,0,21,,3,26.56,5.11,1.17,0,0,0,0,0,PAC.dose1
82001.8,M82,0,21,,3,13.75,2.53,0,0,15.17,4.01,0,0,PAC.dose1
TI002.1,tie-1,0,21,,3,23.92,4.45,0,0,15.77,6.24,0,0,PAC.dose1
82002.2,M82,0,21,,3,14.72,2.55,0,0,11.53,4.41,0,0,PAC.dose1
TI002.3,tie-1,0,21,,3,25.96,3.9,0,0,16.69,6.46,0,0,PAC.dose1
TI002.4,tie-1,0,21,,3,27.75,5.06,0,0,17.43,7.65,0,0,PAC.dose1
82002.5,M82,0,21,,3,16.45,1.83,0,0,15.02,8.17,0,0,PAC.dose1
82002.6,M82,0,21,,3,15.43,2.36,0,0,16.53,4.82,0,0,PAC.dose1
82002.7,M82,0,21,,3,13.84,3.04,0,0,18.26,9.27,0,0,PAC.dose1
82002.8,M82,0,21,,3,13.07,3.37,0,0,23.69,10.24,0,0,PAC.dose1
82001.1,M82,0,28,,4,35.49,9.48,13.4,1.33,42.9,25.85,16.88,4.43,PAC.dose1
82001.2,M82,0,28,,4,21.88,16.91,12.42,7.1,34.35,26.08,22.96,18.56,PAC.dose1
TI001.3,tie-1,0,28,,4,52.66,33.27,18.48,4.71,46.14,28.68,11.38,3.42,PAC.dose1
TI001.4,tie-1,0,28,,4,56.99,21.59,19.45,4.31,33.84,26.69,18.81,7,PAC.dose1
TI001.5,tie-1,0,28,,4,25.9,27.68,20.86,10.27,33.69,28.09,21.94,16.51,PAC.dose1
TI001.6,tie-1,0,28,,4,41.79,9.83,31.43,6.65,42.77,35.24,18.52,5.98,PAC.dose1
TI001.7,tie-1,0,28,,4,41.51,24.6,24.05,5.34,48.32,38.28,19.46,8.38,PAC.dose1
82001.8,M82,0,28,,4,26.05,19.34,6.34,1.64,36.74,20.27,7.54,2.01,PAC.dose1
82002.8,M82,0,28,,4,24.17,15.42,12.28,2.62,51.75,30.44,20.15,6.6,PAC.dose1
82002.7,M82,0,28,,4,21.74,10.1,13.17,3.55,41.83,29.09,19.44,7.88,PAC.dose1
82002.6,M82,0,28,,4,27.55,18.51,6.22,1.53,39.51,21.08,14.08,2.39,PAC.dose1
82002.5,M82,0,28,,4,31.57,11.41,9.95,1.53,37.06,29.06,13.34,6.35,PAC.dose1
TI002.4,tie-1,0,28,,4,40.53,25.49,20.23,5.05,42.29,25.9,19.23,4.56,PAC.dose1
TI002.3,tie-1,0,28,,4,50.77,23.83,13.27,2.94,41.42,19.81,16.04,2.97,PAC.dose1
82002.2,M82,0,28,,4,25.24,16.12,5.22,1.25,26.86,22.92,10.41,1.97,PAC.dose1
TI002.1,tie-1,0,28,,4,44.27,28.42,12.71,1.4,37.68,24.4,13.96,2.98,PAC.dose1
82001.8,M82,0,35,,5,28.44,24.93,16.43,13.08,55.23,43.63,22.39,20.13,PAC.dose1
TI001.7,tie-1,0,35,,5,46.5,33.07,52.47,31.31,71.21,74.13,49.66,42.12,PAC.dose1
TI001.6,tie-1,0,35,,5,45.64,15.01,55.96,38.57,64.65,57.93,48.7,24.67,PAC.dose1
TI001.5,tie-1,0,35,,5,26.89,30.93,32.63,28.82,41.43,46.25,46.31,41.36,PAC.dose1
TI001.4,tie-1,0,35,,5,64.74,32.73,42.63,17.01,55.26,52.95,47.43,33.16,PAC.dose1
TI001.3,tie-1,0,35,,5,55.09,48.07,47.3,37.38,66.93,62.03,34.81,23.5,PAC.dose1
82001.2,M82,0,35,,5,22.45,18.13,17.98,14.12,42.66,42.41,46.16,43.39,PAC.dose1
82001.1,M82,0,35,,5,39.73,14.44,31.55,16.03,63.24,47.97,42.97,25.57,PAC.dose1
TI002.1,tie-1,0,35,,5,47.98,42.43,36.51,28.13,57.85,53.89,40.58,21.19,PAC.dose1
82002.2,M82,0,35,,5,28.54,22.59,15.18,12.33,39.17,46.91,33.89,18.88,PAC.dose1
TI002.3,tie-1,0,35,,5,57.38,37.65,40.56,30.91,60.95,43.58,42.09,22.01,PAC.dose1
TI002.4,tie-1,0,35,,5,43.47,35.64,49.41,38.49,54.91,50.99,47.86,23.98,PAC.dose1
82002.5,M82,0,35,,5,33.24,15.28,22.21,11.37,54.76,50.74,35.88,30.43,PAC.dose1
82002.6,M82,0,35,,5,28.2,25.59,17.66,10.23,55.75,43.57,41.33,21.69,PAC.dose1
82002.7,M82,0,35,,5,23.25,11.42,22.08,14.69,59.31,49.49,41.55,27.26,PAC.dose1
82002.8,M82,0,35,,5,26.84,17.06,24.35,14.78,67.53,51.06,46.79,29.95,PAC.dose1
M0001.8,M82,0,21,,3,12.62,7.95,1.7,0,21.98,9.38,2.91,0,PAC.dose2
T0001.7,tie-1,0,21,,3,27.33,5.8,0,0,18.85,6.04,0,0,PAC.dose2
T0001.6,tie-1,0,21,,3,27.92,9.99,0,0,23.02,8.29,0,0,PAC.dose2
M0001.5,M82,0,21,,3,13.05,1.06,0,0,12.16,7.04,0,0,PAC.dose2
T0001.4,tie-1,0,21,,3,38.46,13.55,2.53,0,20.1,11.15,1.78,0,PAC.dose2
M0001.3,M82,0,21,,3,13.83,2.87,0,0,23.15,9.77,0,0,PAC.dose2
M0001.2,M82,0,21,,3,14.52,5.72,0,0,19.56,8.06,0,0,PAC.dose2
T0001.1,tie-1,0,21,,3,30.24,9.9,1.27,0,16.18,11.08,0,0,PAC.dose2
M0002.1,M82,0,21,,3,12.07,2.4,0,0,13.3,5.97,0,0,PAC.dose2
T0002.2,tie-1,0,21,,3,27.9,16.75,4.58,0,24.49,12.02,6.56,0,PAC.dose2
M0002.3,M82,0,21,,3,7.73,0.01,0,0,15.03,2.15,0,0,PAC.dose2
T0002.4,tie-1,0,21,,3,24.78,9.19,1.53,0,20.82,10.44,0,0,PAC.dose2
T0002.5,tie-1,0,21,,3,24.57,12.77,5.76,0,20.71,9.77,6.77,1.54,PAC.dose2
M0002.6,M82,0,21,,3,6.53,2.5,0,0,14.13,5.61,0,0,PAC.dose2
M0002.7,M82,0,21,,3,8.78,1.92,0,0,13.32,4.41,0,0,PAC.dose2
T0002.8,tie-1,0,21,,3,24.59,12.81,5.45,0,21.34,17.18,4.72,0,PAC.dose2
T0001.1,tie-1,0,28,,4,40.04,32.93,22.07,7.96,35.27,36.97,22.23,6.12,PAC.dose2
M0001.2,M82,0,28,,4,22.72,18.88,10.55,2.81,43.54,27.09,11.23,4.16,PAC.dose2
M0001.3,M82,0,28,,4,21.42,15.02,8.74,1.97,49.63,33.92,10.28,3.63,PAC.dose2
T0001.4,tie-1,0,28,,4,48.21,35.58,30.13,14.08,40.56,38.07,17.53,11.15,PAC.dose2
M0001.5,M82,0,28,,4,23.38,8.77,5.27,1.83,33.94,28.32,13.63,1.27,PAC.dose2
T0001.6,tie-1,0,28,,4,39.64,36.96,22.38,7.88,47.3,29.21,19.48,11.51,PAC.dose2
T0001.7,tie-1,0,28,,4,40.28,29.86,17.57,5.14,43.57,25.26,19.03,4.5,PAC.dose2
M0001.8,M82,0,28,,4,15.55,17.85,10.44,6.42,39.67,27.31,25.81,20.04,PAC.dose2
M0002.1,M82,0,28,,4,18.39,13.49,5.91,0.01,30.42,24.53,5.74,2.1,PAC.dose2
T0002.2,tie-1,0,28,,4,35.4,37.25,23.45,15.23,42.44,34.47,31.63,27.09,PAC.dose2
M0002.3,M82,0,28,,4,18.69,10.93,2.76,0,38.71,17.44,6.56,1.56,PAC.dose2
T0002.4,tie-1,0,28,,4,38.05,31.97,23.08,7.93,42,31.23,19.94,6.48,PAC.dose2
T0002.5,tie-1,0,28,,4,30.01,24.82,25.98,10.23,34.76,24.47,29.37,18.95,PAC.dose2
M0002.6,M82,0,28,,4,7.39,12.86,8.64,4.09,26.05,23.8,13.22,5.86,PAC.dose2
M0002.7,M82,0,28,,4,14.56,16.86,5.24,2.33,31.48,22.44,8.41,1.45,PAC.dose2
T0002.8,tie-1,0,28,,4,33,26.96,23.81,11.8,37.02,41.4,25.63,21.85,PAC.dose2
T0001.1,tie-1,0,35,,5,44.67,42.29,44.9,40.43,53.53,74.07,61.1,30.25,PAC.dose2
M0001.2,M82,0,35,,5,24.37,26.81,25.22,19.97,60.75,57.53,31.77,29.71,PAC.dose2
M0001.3,M82,0,35,,5,22.67,21.99,22.67,22.55,69.05,65.72,30.35,28.59,PAC.dose2
T0001.4,tie-1,0,35,,5,50.47,47.29,52.41,53.72,55.07,67.46,41.8,36.83,PAC.dose2
M0001.5,M82,0,35,,5,26.55,13.75,19.31,24.28,57.29,57.85,42.73,20.67,PAC.dose2
T0001.6,tie-1,0,35,,5,43.6,50.3,48.59,39.72,70.41,69.77,54.91,50.83,PAC.dose2
T0001.7,tie-1,0,35,,5,45.05,45.19,47.28,41.46,61.9,58.22,52.33,29.6,PAC.dose2
M0001.8,M82,0,35,,5,16.33,20.43,15.82,17.72,51.1,47.3,52.09,45.85,PAC.dose2
T0002.8,tie-1,0,35,,5,37.97,32.36,37.47,31.47,49.02,72.93,58.27,56.32,PAC.dose2
M0002.7,M82,0,35,,5,16.82,24.99,22.41,19.59,52.37,54.5,32.19,28.31,PAC.dose2
M0002.6,M82,0,35,,5,6.53,16.16,21.03,23.94,29.27,51.74,41.77,32.29,PAC.dose2
T0002.5,tie-1,0,35,,5,30.57,27.73,32.67,19.15,43.41,43.63,59.94,42.89,PAC.dose2
T0002.4,tie-1,0,35,,5,39.85,43.67,56.9,40.93,61.34,63.52,58.81,30.26,PAC.dose2
M0002.3,M82,0,35,,5,25.59,27.92,20.14,12.15,63.7,47.83,39.3,19.16,PAC.dose2
T0002.2,tie-1,0,35,,5,36.13,39.95,31.76,30.11,52.27,59.81,61.37,61.64,PAC.dose2
